         349480367 function calls (341997083 primitive calls) in 308.596 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:427(IgnoredKeywordWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:44(EmptyDataError)
        2    0.000    0.000    0.103    0.051 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:455(checkdep_usetex)
        1    0.000    0.000    0.000    0.000 __init__.py:466(get_build_platform)
        1    0.000    0.000    0.000    0.000 __init__.py:470(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:476(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:477(CFunctionType)
        2    0.000    0.000    0.000    0.000 __init__.py:485(_get_home)
        1    0.000    0.000    0.000    0.000 __init__.py:492(Bunch)
        3    0.000    0.000    4.040    1.347 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:51(ParserWarning)
      565    0.002    0.000    0.006    0.000 __init__.py:517(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:518(_get_xdg_config_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:52(DummyRewriteHook)
      565    0.001    0.000    0.002    0.000 __init__.py:542(most_common)
